"number","title","pageid","namespace","length","touched"
"221","Adrien_Prévost_de_Longpérier","51714363","","5091","20190224204540"
"222","Aeronautical_Systems_Center","14559659","","13360","20190224001704"
"223","Afanasiy_Ilich_Tobonov","24909268","","1691","20190215034852"
"224","Afet_İnan","4850411","","6166","20190219213637"
"225","African-American_women_in_computer_science","45497786","","9246","20190221204933"
"226","Afroz_Ahmad","48324134","","11763","20190219222826"
"227","After_the_Truth","4094105","","3786","20190219213624"
"228","Afzal_Upal","43029598","","5137","20190203060125"
"229","Against_the_Day","6053554","","34963","20190224215411"
"230","Agathe_L._van_Beverwijk","48430110","","4473","20190219222830"
"231","Agathodaemon_of_Alexandria","17276970","","7942","20190225004340"
"232","Age_of_Science","28305049","","1181","20190224190140"
"233","Ageneros","36937107","","453","20190203054149"
"234","Agenor_Mafra-Neto","30987798","","14380","20190224215713"
"235","Aggregat_(rocket_family)","1812292","","26651","20190227002146"
"236","Agnar_Helgason","4410272","","1011","20190215034719"
"237","Agnes_Kalibata","56941335","","7459","20190219223317"
"238","Agnieszka_Fryckowska","55185240","","4542","20190216170121"
"239","Agop_Terzan","25374102","","1622","20190213233811"
"240","Agora_(film)","19887961","","41897","20190224224715"
"241","Agostino_Gemelli","1692940","","13559","20190224123826"
"242","Agustín_Fernández_Mallo","18737402","","3004","20190226234314"
"243","Agustín_Stahl","695969","","7430","20190225004251"
"244","Ahab_(comics)","1140512","","7141","20190215195624"
"245","Aharon_Dolgopolsky","2045694","","2581","20190219213535"
"246","Aharon_Kapitulnik","54030158","","4301","20190219223139"
"247","Aharon_Katzir","2055444","","7485","20190225225539"
"248","Ahliman_Amiraslanov","23448379","","8921","20190226234415"
"249","Ahmad_Khani","3263095","","4128","20190226001913"
"250","Ahmad_Nahavandi","1778150","","1371","20190219213531"
"251","Ahmad_Shamsul_Islam","50762915","","3693","20190219222942"
"252","Ahmad_ibn_Munim_al-Abdari","28622697","","1910","20190219214127"
"253","Ahmadou_Lamine_Ndiaye","33934573","","8055","20190224224750"
"254","Ahmed_Abukhater","18051919","","16604","20190224215546"
"255","Ahmed_AlKuwaiti","57018868","","7235","20190225093343"
"256","Ahmed_Cevdet_Pasha","2319162","","18581","20190224215335"
"257","Ahmed_Fakhry","2614902","","2023","20190219213549"
"258","Ahmed_Gaffer_Hegazi","13682459","","4277","20190219215841"
"259","Ahmed_Ghandour","57459405","","2601","20190224215835"
"260","Ahmed_K._Elmagarmid","33236835","","15226","20190225060118"
"261","Ahmed_Kamal_(Egyptologist)","10419790","","2754","20190219213749"
"262","Ahmed_Mumin_Warfa","25241246","","3858","20190219214049"
"263","Ahmed_Zaki_Abu_Shadi","38280637","","13459","20190219214323"
"264","Ahmed_Zewail","113617","","24671","20190224225621"
"265","Ahmet_Mete_Işıkara","38290885","","6303","20190224215749"
"266","Ahmet_Rıza","5966332","","10191","20190219215005"
"267","Ahmet_Taner_Kışlalı","611522","","5876","20190224224603"
"268","Ahmet_Yalçınkaya","2080421","","4484","20190210014838"
"269","Ahmet_Yıldız","3710505","","3462","20190224043111"
"270","Ahsan_Mubarak","35814412","","9535","20190219221943"
"271","Aiichiro_Nakano","53850568","","1547","20190206054305"
"272","Ailana_Fraser","38296576","","2178","20190219222152"
"273","Aimé_Argand","2889802","","6448","20190224123904"
"274","Aisha_Bowe","56543662","","8224","20190219223304"
"275","Aisling_Judge","25836403","","7541","20190224224728"
"276","Aizik_Volpert","24135131","","28181","20190225005427"
"277","Ajay_K._Sood","44145368","","30084","20190226081025"
"278","Ajdar_Ismailov","52050192","","11504","20190224215832"
"279","Akbar_Adibi","11062964","","8811","20190225004328"
"280","Akbar_Etemad","42799034","","8297","20190226081145"
"281","Akhilesh_Kumar_Tyagi","55866632","","18275","20190224002620"
"282","Akhilesh_Reddy","46719422","","6841","20190219222731"
"283","Akhouri_Sinha","43198295","","3258","20190203060156"
"284","Akhtar_Hameed_Khan","4155777","","33742","20190226053015"
"285","Aki_(Ape_Escape)","9620602","","83","20190220210916"
"286","Akihiro_Kusumi","4489461","","2089","20190203021808"
"287","Akiko_Kobayashi_(chemist)","42148370","","4920","20190219222503"
"288","Akinori_Noma","39353707","","1019","20190203055000"
"289","Akinori_Yonezawa","17002531","","2398","20190219220223"
"290","Akintunde_Akinwande","46606948","","8716","20190223151141"
"291","Akio_Mori","19769777","","23341","20190219220517"
"292","Akio_Suzuki","57231345","","1606","20190213234144"
"293","Akira_Ogata","30864054","","4650","20190222180309"
"294","Akira_Tonomura","35695399","","3526","20190224215735"
"295","Akito_Arima","29436170","","6807","20190219221435"
"296","Akitsune_Imamura","19465328","","2533","20190219220503"
"297","Aklilu_Lemma","30941518","","4531","20190221173824"
"298","Aku-Aku","4373278","","5275","20190223235118"
"299","Al-Abbās_ibn_Said_al-Jawharī","1086231","","3156","20190219213516"
"300","Al-Adami","40695634","","1081","20190203055424"
"301","Al-Ashraf_Umar_II","53368843","","2759","20190224215833"
"302","Al-Biruni","271975","","57313","20190225004246"
"303","Al-Biruni_(crater)","1017070","","5085","20190203012419"
"304","Al-Isfizari","43756445","","2289","20190213234026"
"305","Al-Karaji","1739664","","11706","20190219214217"
"306","Al-Qalqashandi","5647376","","3203","20190215034730"
"307","Al-Saghani","1766840","","2849","20190213233233"
"308","Al-Simawi","27588679","","627","20190213233830"
"309","Al-Suyuti","36035737","","17393","20190219214247"
"310","Al-Tighnari","29411120","","1874","20190203050922"
"311","Al-Tughrai","2042556","","4498","20190219213535"
"312","Aladdin_Allahverdiyev","51056238","","29517","20190226234813"
"313","Alain_Chabaud","42616201","","9890","20190226081145"
"314","Alain_Gringarten","30759743","","5363","20190224215712"
"315","Alain_Haché","14597914","","4997","20190219215934"
"316","Alain_Le_Mehaute","49286283","","6342","20190219222859"
"317","Alain_Manesson_Mallet","2583297","","3116","20190224123857"
"318","Alain_Viel","47211647","","6012","20190219222748"
"319","Alain_le_Pichon","38516499","","3550","20190219222203"
"320","Alamgir_Karim","53844057","","1416","20190205190004"
"321","Alan_Baddeley","3257669","","6105","20190224224625"
"322","Alan_Bond_(engineer)","1475070","","12325","20190219214137"
"323","Alan_Boss","3737661","","3233","20190213233342"
"324","Alan_C._Gilmore","760736","","6213","20190213233152"
"325","Alan_C._Newell","38482776","","3471","20190219222202"
"326","Alan_Cook","24478004","","5668","20190219221010"
"327","Alan_Cottrell","8869504","","10335","20190224215438"
"328","Alan_Cowman","59082740","","2558","20190226081026"
"329","Alan_D._English","53839732","","1387","20190203062706"
"330","Alan_D._Roberts","43628949","","3670","20190219222556"
"331","Alan_Dix","10950568","","3957","20190223185605"
"332","Alan_Eppes","1819999","","13768","20190220001333"
"333","Alan_Evans_(academic)","58921903","","4621","20190213234155"
"334","Alan_F._Blackwell","46396728","","9206","20190213234041"
"335","Alan_Fersht","1107572","","18143","20190226081024"
"336","Alan_Gaius_Ramsay_McIntosh","57297191","","2472","20190214104738"
"337","Alan_Hastings","30944095","","2512","20190219221542"
"338","Alan_Jay_Smith","15327845","","3256","20190216232531"
"339","Alan_Jeffrey_Giacomin","54381026","","5967","20190219223151"
"340","Alan_John_Beale","34414616","","1753","20190219221841"
"341","Alan_Kay","1449","","23607","20190219213527"
"342","Alan_Kirton","5621658","","6489","20190222045819"
"343","Alan_L._Hart","19988821","","38988","20190224215601"
"344","Alan_Lloyd_Hodgkin","353862","","13985","20190222045815"
"345","Alan_M._Leslie","13626896","","6638","20190219215837"
"346","Alan_MacMasters","38551935","","7147","20190222022734"
"347","Alan_Mackay-Sim","52979724","","6884","20190227004927"
"348","Alan_Mycroft","33478508","","8405","20190224224749"
"349","Alan_R._Battersby","13013970","","34445","20190226081024"
"350","Alan_Rudge","34240028","","5389","20190203052947"
"351","Alan_Sargeson","21621730","","3336","20190219220718"
"352","Alan_Schoen","55516835","","10427","20190219223221"
"353","Alan_Sinclair_(scientist)","52991528","","5576","20190215035159"
"354","Alan_Smeaton","5763387","","5094","20190226021614"
"355","Alan_Stern","3946940","","27961","20190219214731"
"356","Alan_Thorne","35311761","","10461","20190213233929"
"357","Alan_Tower_Waterman","1082986","","6714","20190219214024"
"358","Alan_Tracy","8154642","","11022","20190220001335"
"359","Alan_Turing","1208","","147440","20190227005346"
"360","Alan_Turing:_The_Enigma","54756168","","4352","20190221121946"
"361","Alan_Turing_(sculpture)","48061915","","3350","20190222063056"
"362","Alan_Turing_Memorial","1216597","","5436","20190208232121"
"363","Alan_Turing_statue","58210217","","5179","20190226234850"
"364","Alan_Turnbull_(scientist)","56111057","","5175","20190226081025"
"365","Alan_W._Black","13234802","","4054","20190226021625"
"366","Alan_Walker_(anthropologist)","2092791","","9185","20190224215332"
"367","Alan_Walsh_(physicist)","20574024","","4746","20190226234337"
"368","Alan_Weiss_(mathematician)","10222549","","2411","20190213233540"
"369","Alan_William_James_Cousins","1588841","","2201","20190213233225"
"370","Alastair_MacLennan_(obstetrician)","52451385","","27568","20190219223040"
"371","Alba_Zaluar","48440686","","4498","20190219222831"
"372","Albert_A._Michelson","92733","","31090","20190224145040"
"373","Albert_Alexander_Cochrane_Le_Souef","8313980","","3094","20190213233515"
"374","Albert_Bielschowsky","5714102","","1731","20190213233433"
"375","Albert_Calmette","1330354","","14450","20190219214114"
"376","Albert_Claude","1505548","","19347","20190224123820"
"377","Albert_Curtz","3162776","","1726","20190215034705"
"378","Albert_Dastre","14711757","","2950","20190219215940"
"379","Albert_Einstein","736","","154950","20190226231245"
"380","Albert_Einstein's_brain","3627193","","21730","20190224215349"
"381","Albert_Einstein:_The_Practical_Bohemian","1755232","","2509","20190203013540"
"382","Albert_Einstein_ATV","30891535","","13729","20190222062820"
"383","Albert_Einstein_Archives","48984989","","10247","20190226234759"
"384","Albert_Einstein_Award","507116","","6320","20190224215308"
"385","Albert_Einstein_House","13412090","","6339","20190215000012"
"386","Albert_Einstein_Israelite_Hospital","27238977","","6679","20190226200933"
"387","Albert_Einstein_Medal","3887135","","2786","20190219214725"
"388","Albert_Einstein_Memorial","1520887","","8342","20190224145536"
"389","Albert_Einstein_Peace_Prize","3720557","","9039","20190224215350"
"390","Albert_Einstein_Society","2289835","","1503","20190211173759"
"391","Albert_Einstein_Square","48394216","","3019","20190203061604"
"392","Albert_Einstein_World_Award_of_Science","416820","","39451","20190224224601"
"393","Albert_Einstein_in_popular_culture","12333667","","29847","20190226071213"
"394","Albert_George_Brighton","57133129","","4712","20190203063250"
"395","Albert_George_Wilson","764796","","3913","20190213233152"
"396","Albert_Ghiorso","164644","","11722","20190219213705"
"397","Albert_H._Walenta","9225950","","712","20190213233527"
"398","Albert_HUBO","4880215","","2970","20190203022304"
"399","Albert_Henry_Munsell","1615748","","22546","20190224123823"
"400","Albert_Huntington_Chester","13053013","","2458","20190215034810"
"401","Albert_I,_Prince_of_Monaco","162250","","20270","20190224123718"
"402","Albert_J.R._Heck","35054306","","6725","20190219214233"
"403","Albert_Kluyver","3383118","","6328","20190219214624"
"404","Albert_Le_Sueur","53481947","","2584","20170330110250"
"405","Albert_Lloyd_George_Rees","52696884","","6675","20190219223047"
"406","Albert_Neuberger","5335861","","8967","20190222045819"
"407","Albert_Overhauser","3598265","","3664","20190215034711"
"408","Albert_Paris_Gütersloh","2029543","","2306","20190223204114"
"409","Albert_Pugsley","24353802","","2106","20190203044732"
"410","Albert_R._Meyer","23136470","","5074","20190224224722"
"411","Albert_Richter_(forester)","52644038","","1389","20190223095833"
"412","Albert_Sabin","891357","","22532","20190227015722"
"413","Albert_Sauveur","8557763","","2238","20190219215307"
"414","Albert_Schweitzer_(film)","8316451","","2162","20190225184818"
"415","Albert_Sherbourne_Le_Souef","3900140","","976","20190213233346"
"416","Albert_Stolow","53844292","","4623","20190203062707"
"417","Albert_Szent-Györgyi","240540","","33315","20190224215300"
"418","Albert_Sánchez_Piñol","26401035","","3904","20190224203953"
"419","Albert_T._Corbett","32808843","","5312","20190219221723"
"420","Albert_Touraine","27514559","","2397","20190219221252"
"421","Albert_W._Hull","3870979","","7861","20190224143036"
"422","Albert_de_la_Chapelle","45552195","","18983","20190219222704"
"423","Albert_of_Saxony_(philosopher)","853697","","15553","20190219213937"
"424","Albert_van_den_Berg_(physicist)","41923948","","5747","20190213234013"
"425","Albert_von_Kölliker","940405","","11432","20190224123758"
"426","Alberte_Pullman","4259833","","1867","20190220213718"
"427","Alberto_Angela","13230342","","5157","20190224124117"
"428","Alberto_Boerger","54192656","","15531","20190226234834"
"429","Alberto_Calderón","869074","","18593","20190221075147"
"430","Alberto_Cambrosio","36799789","","2131","20190203054109"
"431","Alberto_Cassano","43310586","","948","20190203060219"
"432","Alberto_Granado","954776","","17303","20190224123759"
"433","Alberto_Romão_Dias","8387579","","2611","20190219215256"
"434","Alberto_Vojtěch_Frič","3953636","","1593","20190225153320"
"435","Albertus_Magnus","1573","","40149","20190226231245"
"436","Albie_Sachs","3296230","","14096","20190224215347"
"437","Albino_(comics)","16275915","","3776","20190213185105"
"438","Albrecht_Fleckenstein","40431980","","1875","20190213234004"
"439","Albrecht_Hofmann","57788203","","4872","20190224224907"
"440","Albrecht_von_Graefe","1307478","","15143","20190224215320"
"441","Alcyone_(ship)","5306768","","4188","20190224143049"
"442","Aldo_Covello","53848863","","1479","20190203062707"
"443","Aldo_Massola","1429099","","1595","20190224042358"
"444","Aldous_Huxley","628","","55289","20190226143312"
"445","Aldric_Saucier","55037746","","7394","20190219223207"
"446","Aldrich_Killian","35566690","","7644","20190226014919"
"447","Alec_David_Young","4444542","","5441","20190213233404"
"448","Alec_Holland","57426599","","45328","20190224151238"
"449","Alec_Jeffreys","44292","","31635","20190226081024"
"450","Alec_Wood","9307469","","1524","20190213233528"
"451","Alejandra_Bravo","24951833","","3947","20190219221037"
"452","Alejandro_Corichi","843182","","1189","20190120125010"
"453","Alejandro_Jenkins","26717734","","9493","20190219221208"
"454","Alejandro_Portes","2799870","","3448","20190219214456"
"455","Alejo_Avello","30830288","","2133","20190219221536"
"456","Aleksandar_Lazarevic","11283262","","3077","20190223211337"
"457","Aleksandar_Stipčević","23805411","","3555","20190219220928"
"458","Aleksandar_Ugrenović","22002255","","2334","20190203043607"
"459","Aleksander_Jabłoński","1019659","","3715","20190219214010"
"460","Aleksandr_Aleksandrovich_Shmuk","12694997","","2757","20190219213810"
"461","Aleksandr_Arbuzov","15541504","","2784","20190219220042"
"462","Aleksandr_Bogomolets","3033223","","3948","20190224145955"
"463","Aleksandr_Chudakov","18597189","","4770","20190219220354"
"464","Aleksandr_Dralkin","4368218","","1227","20190219213629"
